Depth	W	Wl	Wp	Ip	A	Sand	Silt	Clay	Ushear	Dshear	Na	Ca	K	Mg
1.4	33.4	51.5	23.4	NA	NA	0.3	54	46	NA	NA	10	13	1.9	3.3
2.8	38	46	23.6	NA	NA	0.6	58	41	56.4	14.7	0.28	32	30	7.1
3.3	34.5	45.3	22.6	NA	NA	0.2	56	44	35.3	7.8	0.36	46	43	10
5.5	37.5	41.6	24.4	NA	NA	0.4	56	44	22.1	4.9	0.57	130	34	21
5.9	37.9	44.8	23.5	NA	NA	0.4	54	46	21.1	4.9	0.65	160	35	22
7.4	33.1	42.7	20.9	NA	NA	0.8	52	47	21.6	4.2	0.69	200	24	21
7.8	35.7	40.3	19	NA	NA	0.1	52	48	19.9	3.9	0.98	310	35	26
9	30.9	40.3	21	NA	NA	0.2	51	49	22.1	4.9	0.87	360	11	14
10.5	31	34.3	21.7	NA	NA	0.4	56	44	23.5	4.2	1.12	500	6.5	12
10.8	32.3	33.2	19	NA	NA	0.8	57	42	24.5	4.9	1.12	480	5.3	9.8
12.1	30.9	32.4	18	NA	NA	1.1	58	41	23.5	5.4	1.12	490	5.3	10
12.4	31.6	32.3	19.6	NA	NA	0.5	56	44	25.8	3.7	1.12	490	5	9.7
13.5	33.1	35.4	17.3	NA	NA	0.4	54	46	NA	NA	1.25	520	5.3	10
13.8	32.3	32.6	16.5	NA	NA	1	55	44	24.3	2.2	1.19	510	4.9	9.4
15	33.8	32.6	19.5	NA	NA	0.5	59	41	23.3	0.7	1.13	500	4.7	9.8
15.4	27.4	23.4	19.3	NA	NA	2.6	64	33	25.5	1.2	1.17	500	4.6	10
18.1	31.7	33.4	19	NA	NA	0.8	58	41	NA	NA	1.23	610	7.1	12
18.5	30.6	32.1	19.7	NA	NA	1	58	41	NA	NA	1.19	580	5	11
19.6	25.6	38	20.2	NA	NA	2.1	61	37	NA	NA	1.15	260	5	11
19.9	23.1	29.5	16.6	NA	NA	14	55	31	NA	NA	1.17	550	5	10
23.4	32.3	30.6	22	NA	NA	0.5	65	35	NA	NA	1.1	520	7	9.7
25	26.5	30.3	20.5	NA	NA	1.7	61	37	NA	NA	1	830	27	21
26.6	7	58	35	NA	NA	NA	NA	NA	NA	NA	1.36	500	36	18
